2026-04-12 22:37:17,580 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): КриптаI Яндекс про Директ 2.0 - YouTube
2026-04-12 22:37:19,201 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Цвет настроения красный...криптабыла для всех для.
2026-04-12 22:37:20,736 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Как разобраться в крипте в 2026 году с нуля? С чег
2026-04-12 22:37:22,786 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Крипта в 2026: вывел все деньги и что делаю дальше
2026-04-12 22:37:24,476 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 444 вне диапазона): Крипта стала легальна в России! - YouTube
2026-04-12 22:37:26,004 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 393 вне диапазона): Крипта в 2026: начинается то, чего никто не ждёт -
2026-04-12 22:37:27,779 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 393 вне диапазона): Крипта: как заработать НИЧЕГО не понимая? - YouTub
2026-04-12 22:37:29,610 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 393 вне диапазона): Крипта: самый ПРОСТОЙ способ заработка для новичко
2026-04-12 22:37:31,337 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 34 вне диапазона): КРИПТА. Начало - обзор настольной игры от Geek Med
2026-04-12 22:37:33,706 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 13 вне диапазона): 🚨КРИПТА СТАВИТЬ ДНО? 🔴 ЧОМУ НАТОВП ЗНОВУ ПОМИЛЯЄТЬ
2026-04-12 22:37:35,851 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 110 вне диапазона): ГРИВНЯ чи КРИПТА: що краще для ЗАОЩАДЖЕНЬ? - YouTu
2026-04-12 22:37:37,411 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): ФРС, доллар и крипта: что сейчас ломает рынок. Рек
2026-04-12 22:37:39,240 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 649 вне диапазона): Криптадля абсолютных новичков. Пошаговая инструкци
